trial_num,randomise_blocks,randomise_trials,display,cars_encoding_sentence,cars_test_question,cars_pic_a,cars_pic_b,cars_pic_c,cars_pic_d,cars_test_answer,cars_pretest,cook_encoding_sentence,cook_test_question,cook_pic_a,cook_pic_b,cook_pic_c,cook_pic_d,cook_test_answer,cook_pretest,dino_encoding_sentence,dino_test_question,dino_pic_a,dino_pic_b,dino_pic_c,dino_pic_d,dino_test_answer,dino_pretest,gems_encoding_sentence,gems_test_question,gems_pic_a,gems_pic_b,gems_pic_c,gems_pic_d,gems_test_answer,gems_pretest,arms_encoding_sentence,arms_test_question,arms_pic_a,arms_pic_b,arms_pic_c,arms_pic_d,arms_test_answer,arms_pretest,musi_encoding_sentence,musi_test_question,musi_pic_a,musi_pic_b,musi_pic_c,musi_pic_d,musi_test_answer,musi_pretest
1,1,,test,"Cars use a four-stroke combustion cycle to turn the energy stored inside gasoline into motion energy. In each stroke, pistons expand or compress the space inside their respective cylinders. The four-stroke cycle is also called the Otto cycle, after Nikolaus Otto, the German engineer who invented the internal combustion engine.",The four-stroke combustion cycle is also named after which engineer?,cars1a.jpeg,cars1b.jpeg,cars6a.jpeg,cars6b.png,Otto,FALSE,"Aspic is a savory jelly dish typically made from meat, fish, or vegetable stock bolstered with gelatin. It can serve as the base of a molded dish, or a glaze for meat, fish, eggs, and such. Aspic is usually clear, however some aspics, like tomato aspic, are opaque.",What dish is made of meat or vegetable stock set in a solid jelly?,cook1a.jpeg,cook1b.png,cook19a.jpeg,cook19b.jpeg,aspic,FALSE,"The word fossil is derived from the Latin word ""fossilis,"" meaning ""dug up"". Mineralized bones usually come to mind when we imagine dinosaur fossils. However, fossils also include tracks, eggs, skin impressions, tooth marks. These fossils are known as ichnofossils, from the Greek ichnos for ""trace.""","What is the technical name for trace fossils such as tracks, eggs, and tooth marks?",dino1a.jpeg,dino1b.jpeg,dino20a.png,dino20b.png,ichnofossils,FALSE,"One of the physical properties of a gemstone is its cleavage or fracture pattern, or how the stone breaks. Depending on their atomic structure, gemstones either cleave, along planes of weak atomic bonding, or they fracture, in more unpredictable patterns. However, even stones that have the ability to cleave into flat pieces will still fracture in an irregular manner if chipped the wrong way.",Gemstone breakage along a flat plane is known by what term?,gems1a.jpeg,gems1b.jpeg,gems3a.jpeg,gems3b.png,"cleave, cleavage",FALSE,"Stone Age hunters living all over the world used spear-throwers to launch darts and spears with increased speed and accuracy relative to throwing them by hand. A spear-thrower was in essence a long stick, held at one end with the other end shaped to nock into the base of a dart or spear. While they are not specific to any one culture, in American English spear-throwers are usually called atlatl, from the Nahuatl term.","The spear-thrower, used by many Stone Age cultures, is also known by what other name in American English?",arms1a.jpeg,arms1b.png,arms14a.png,arms14b.png,atlatl,FALSE,"The Western orchestral classification is not inclusive of the breadth of instruments played across the world. To address this, in 1914, Austrian musicologists Erich von Hornbostel and Curt Sachs developed a five-category classification system for musical instruments based purely on how they create sound waves. Their first category was idiophones, or instruments whose body vibrates to make sound (as opposed to strings, a stretched membrane, or a column of air). This includes most percussion instruments, like cymbals.",Cymbals are a member of which of the five Hornbostel-Sachs instrument classes?,musi1a.jpeg,musi1b.jpeg,musi17a.png,musi17b.png,idiophone,FALSE
2,1,,test,"The four strokes that make up the internal combustion cycle are the intake stroke, compression stroke, combustion stroke, and exhaust stroke. The intake stroke pulls the piston out of the cylinder, pulling in fuel and air. The compression stroke squeezes that gas, and the combustion stroke ignites the fuel, creating a small explosion that pushes the piston back out. The exhaust stroke squeezes the used gases out to restart the cycle.","The four-stroke cycle includes the intake, compression, combustion, and which fourth stroke?",cars2a.jpeg,cars2b.jpeg,cars28b.jpeg,cars28a.jpeg,exhaust,FALSE,"A blewit is a variety of mushroom with a wide, bluish-lavender cap and 1-inch stem. In the US, blewits can be found across the country during cooler months. The blewit has pale blue flesh that fades as it matures and is popular for its earthy, woody flavor and firm yet slimy texture.",Which type of mushroom has a bluish-lavender color and gives off an earthy flavor?,cook2a.jpeg,cook2b.png,cook22b.jpeg,cook22a.jpeg,blewit,TRUE,"Radioactive clocks can be used to determine the numerical age of rocks, and any fossils within, by measuring the rate of decay for radioactive atoms contained within those rocks. Of the three main rock types, only igneous rocks have a sufficient quantity of radioactive atoms for radiometric dating. However, igneous rocks rarely contain fossils themselves, because molten lava tends to incinerate any biomass that would have otherwise fossilized.",Which is the only type of rock that has enough radioactive atoms to allow radiometric dating?,dino2a.jpeg,dino2b.jpeg,dino36b.jpeg,dino36a.jpeg,igneous,FALSE,"The most common fracture pattern for gemstones is a conchoidal fracture, where the broken surfaces have curvy ridges. These ridges resemble shells, giving conchoidal fractures their name from Greek. This fracture pattern arises when stones have a very small, irregular crystal structure that does not allow the whole stone to cleave along a single line.",What do the ridges on conchoidal-fractured gemstones resemble?,gems2a.jpeg,gems2b.jpeg,gems16a.jpeg,gems16b.jpeg,shells,FALSE,"Prehistoric bladed weapons included daggers, axes, and adzes. An adze is composed of a blade attached to a handle, like an ax, but the blade is perpendicular to the handle, as opposed to parallel, as with an ax. However, because of their shape and ergonomics, adzes were probably more useful as tools than weapons.",Which prehistoric bladed weapon has the blade mounted perpendicular to the handle?,arms2a.png,arms2b.jpeg,arms11a.jpeg,arms11b.jpeg,adze,FALSE,"Most percussion instruments are Hornbostel-Sachs idiophones, being directly struck, scraped, or otherwise acted on to make sound. However, drums are membranophones, because they make sound by way of a vibrating membrane stretched across the opening of the instrument body. While many membranophones cannot be tuned, the timpani is a good example of a tunable membranophone that can produce different pitches.",Timpanis are a member of which of the five Hornbostel-Sachs instrument classes?,musi2a.png,musi2b.jpeg,musi7a.png,musi7b.png,membranophone,FALSE
3,1,,test,"Each cylinder of an engine contributes combustion power. The more cylinders an engine has, the more power it can produce. In engine specifications, the ""V"" in the label V4 or V6 indicates that the engine's cylinders are arranged in a V shape. Engines may also be ""inline"", where all the cylinders are parallel to one another.","Engine cylinders may be arranged either in a V, or what other arrangement?",cars3a.jpeg,cars3b.jpeg,cars39b.jpeg,cars39a.jpeg,inline,FALSE,"The ramp is a wild vegetable in the onion family growing in Canada and parts of the Carolinas. Ramps can be found in specialty produce markets during the spring and early summer. Though it is not the same as a leek, it is often referred to as a wild leek. Ramps add a strong, garlicky-onion flavor to dishes.",What wild onion is often confused for scallions and leeks?,cook3a.jpeg,cook3b.png,cook36b.jpeg,cook36a.jpeg,ramp,TRUE,"While carbon-14 is a well-known isotope for radiometric dating of organic matter, its short half-life means it cannot be used for fossils more than about 50,000 years old--not nearly old enough for dinosaurs. However, potassium-40, found in volcanic rocks, decays into argon-40 with a half life of 1.2 billion years. Potassium-argon dating can thus measure the age of igneous rocks up to billions of years old.",What two elements are commonly used together for radiometric dating of rocks up to billions of years old?,dino3a.jpeg,dino3b.jpeg,dino35b.jpeg,dino35a.jpeg,"potassium, argon",FALSE,"Prototypical gemstones are in crystalline form, with their atoms arranged in a regular repeating pattern to create large crystals with structure clearly visible to the naked eye. When gems are found in large, irregular shapes, without any obvious large crystal structure, they are said to be in massive form.",Gemstones found with irregular shapes and no obvious crystal structure are in what form?,gems3a.jpeg,gems3b.png,gems21b.jpeg,gems21a.png,massive,FALSE,"Prehistoric people were limited in the resources available to them for tool and weapon making. Flint was a common material for ancient ax blades and arrowheads, because it could easily be made sharp. Knapping describes the act of shaving a piece of flint or other rock down to a sharp edge by knocking off small pieces with another stone.",What term is used to describe the process of shaving down a piece of flint to a sharp edge?,arms3a.png,arms3b.png,arms29b.png,arms29a.png,knapping,FALSE,"Stringed instruments, whether they be plucked, bowed, or struck, make up the third Hornbostel-Sachs category, the chordophones. According to the Hornbostel-Sachs system, keyboard instruments like the piano and harpsichord are definitely chordophones, even though the strings are not directly contacted by the player.",Pianos and harpsichords are a member of which of the five Hornbostel-Sachs instrument classes?,musi3a.jpeg,musi3b.jpeg,musi26b.jpg,musi26a.jpg,chordophone,FALSE
4,1,,test,"Cooling is critical to helping the engine run more efficiently. Most modern cars circulate water through pipes and passages to cool their engines. However, Volkswagen Beetles made before 1999 used air to cool their engines. In an air-cooled engine, fans blow over large metal fins, drawing heat from the engine.","Unlike modern cars, pre-1999 models of what car used air to cool their engines?",cars4a.png,cars4b.png,cars31b.jpeg,cars31a.jpeg,Volkswagen Beetle,FALSE,"Mate is a tree in the holly family grown primarily in Argentina, Brazil, and Paraguay. Mate leaves can be dried, shredded, aged, and then brewed as an energy boosting tea-like drink. The traditional way of preparing this beverage involves placing the leaves in a hollow gourd with hot, not boiling water, and sipping the tea through a special metal straw, called a bombilla, that strains out leaves.",What special metal straw is used to strain out leaves when making a traditional mate?,cook4a.jpeg,cook4b.jpeg,cook5a.jpeg,cook5b.png,bombilla,FALSE,"Sedimentary rocks do not contain enough radioactive material for radiometric dating. Thus, evaluation of fossil age sometimes relies on stratigraphy, the subfield of geology concerned with measuring the formation, composition, and age of layers in a rock formation. For example, radiometric dating from igneous layers above and below a sedimentary layer can yield a time range when fossils in that layer could have formed.",What subfield of geology studies the formation and composition of rock layers?,dino4a.jpeg,dino4b.jpeg,dino18a.png,dino18b.png,stratigraphy,FALSE,"Crystals are classified into one of seven systems based on the axes of symmetry in their microscopic crystal structure. The first system, the triclinic system, describes crystals that form with three axes of unequal length that all meet each other at non-perpendicular angles. These crystals are not symmetric along any axis. Turquoise is a well-known gemstone with a triclinic system.",What well-known gemstone has a triclinic system?,gems4a.jpeg,gems4b.jpeg,gems33b.jpeg,gems33a.png,turquoise,FALSE,"People throughout the centuries have interpreted archaeological weaponry findings in various ways. For example, 10th century Anglo-Saxons in Britain believed that stabbing pains now associated with rheumatism and arthritis were caused by ""elfshot"", or invisible arrow wounds from magical elves. They took Stone Age flint arrowheads to be evidence of elf activity.",10th century Anglo-Saxons believed that Stone Age arrowheads were evidence of what mythical cause of stabbing pains?,arms4a.jpeg,arms4b.png,arms5a.jpeg,arms5b.jpeg,elfshot,FALSE,"Wind instruments comprise the fourth Hornbostel-Sachs category, the aerophones. Woodwinds and brass instruments are prototypical aerophones, making sound by vibrating air through a mouthpiece into the tubular body of the instrument. Importantly, any wind-based instrument is an aerophone, not just those that are blown into. Thus, accordions are also aerophones, because air is driven through reeds by a bellows.",Accordions are a member of which of the five Hornbostel-Sachs instrument classes?,musi4a.jpeg,musi4b.jpeg,musi16a.png,musi16b.jpeg,aerophone,FALSE
5,1,,test,"Horsepower was coined by James Watt, an inventor who improved the steam engine. Watt measured how many times a horse could turn a mill wheel in one minute, multiplied that by the circumference of the wheel, and then multiplied that by how much force he thought a horse could pull. Thus, one horsepower equals 33,000 foot-pounds per minute.",Which inventor coined the term horsepower?,cars5a.png,cars5b.jpeg,cars14a.jpeg,cars14b.jpeg,James Watt,FALSE,"Julienne is a vegetable cutting technique, most often used to create a garnish for a dish, in which foods are cut into thin, matchstick strips. Oftentimes, the vegetable is first cut into thin, 1/8 inch slices which are then stacked and then cut again into shorter strips of the desired length.",What is the cutting technique where foods are stacked then cut into matchlike strips?,cook5a.jpeg,cook5b.png,cook30b.jpeg,cook30a.jpeg,julienne,FALSE,"Sometimes, fossils may be dated using certain neighboring fossils that formed at the same time. These helpful fossils, known as index fossils, belong to organisms that lived all over the world during a very specific time period. For example, trilobites lived in seafloor environments all over the world during the Cambrian Period. Thus, any fossils found in the same formation as trilobites can be dated to the Cambrian Period as well.",Fossils found worldwide that originate from a very specific time period are known by what descriptor?,dino5a.png,dino5b.png,dino5a.png,dino5b.png,index fossil,FALSE,"The second crystal system, the monoclinic system, is similar to the triclinic system, in that all three crystal axes are different lengths. However, in the monoclinic system, two of the axes do meet at right angles, giving monoclinic crystals one axis of twofold symmetry. Jade is a well-known gemstone with a monoclinic system.",What well-known gemstone has a monoclinic system?,gems5a.png,gems5b.jpeg,gems23b.jpeg,gems23a.jpeg,jade,FALSE,"The first standing army, composed of full-time soldiers as opposed to those enlisted only in times of war, was established around the 14th century BCE in the ancient Assyrian empire, centered in modern-day Iraq. The use of iron, which was easier to produce and more durable than bronze, to equip these soldiers enabled the Assyrians to pursue almost constant military conquest of neighboring states until about the 10th century BCE.",What ancient culture was the first to maintain a standing army in the 14th century BCE?,arms5a.jpeg,arms5b.jpeg,arms10a.png,arms10b.png,Assyrians,FALSE,"The original Hornbostel-Sachs system had only four instrument categories. In 1940, Hornbostel added the fifth category, electrophones, to keep up with evolving musical technology. While Hornbostel originally classified amplified instruments, like electric guitars, as electrophones, modern musicologists now only classify fully electronic instruments as electrophones. Synthesizers are thus one of the most common electrophones in modern music.",Synthesizers are a member of which of the five Hornbostel-Sachs instrument classes?,musi5a.png,musi5b.png,musi30b.png,musi30a.png,electrophone,FALSE
6,1,,test,"In liquid-cooled engines, the cooling fluid must be able to remain liquid both in cold weather and when the engine is running very hot. Ethylene glycol is added as antifreeze to water to lower its freezing point and raise its boiling point, helping to keep it liquid at a wider range of temperatures.",What compound is added as antifeeze to water in engine cooling systems?,cars6a.jpeg,cars6b.png,cars3a.jpeg,cars3b.jpeg,ethylene glycol,FALSE,"A specialty sauce of Piedmont, Italy, Bagna Cauda is a sauce made from olive oil, butter, garlic, and anchovies that is often served as a warm appetizer or for dipping vegetables. The term originates from the Italian phrase ""bagno caldo"" meaning hot bath, which makes sense given its purpose.",From which part of Italy does the Bagna Cauda sauce originate?,cook6a.png,cook6b.png,cook15a.jpeg,cook15b.jpeg,Piedmont,FALSE,"While modern paleontology began in earnest in the 1800s, scientists have been studying fossils for many centuries. In Song Dynasty China, the scientist Shen Kuo found petrified bamboo plants in a region too dry for bamboo to grow. From this, he inferred that for bamboo to have grown there in the past, the world's climates must be slowly drifting over time. He recorded his ideas long before the modern study of ice ages and climate change.",Song Dynasty scientist Shen Kuo formed a theory of climate change by observing fossilized specimens of what plant?,dino6a.jpeg,dino6b.jpeg,dino31b.png,dino31a.jpeg,bamboo,FALSE,"The third crystal system, the orthorhombic system, is again slightly more symmetrical than the previous system. Again, all three crystal axes are different lengths, but in orthorhombic crystals all three axes meet at right angles, like a rectangular prism. Topaz is a well-known gemstone in the orthorhombic system.",What three dimensional shape do the axes of orthorhombic crystals make?,gems6a.jpeg,gems6b.png,gems18a.jpeg,gems18b.jpeg,rectangular prism,FALSE,"Hoplites, heavily armored amateur infantrymen, made up the core of the ancient Greek phalanx battle formation. With their chest armor, leg armor, and helmets, hoplites carried a characteristic round shield spanning from their shoulders to their knees. These shields often bore symbolic designs; one popular design was the head of Medusa, who turned enemies to stone with her gaze.",Which ancient Greek infantrymen were known for their round shields covering from the shoulder to the knees?,arms6a.jpeg,arms6b.jpeg,arms33b.png,arms33a.jpeg,hoplite,FALSE,"The earliest known bowed string instrument was the long-necked rabab, developed in the Islamic states of western Asia as early as the 8th century CE. Some rababs had pear-shaped bodies, eventually evolving into the European lute, and others had small bodies with a spike at the end to rest on the ground, spreading as far as southeast Asia.",What Islamic instrument was the earliest known bowed string instrument?,musi6a.png,musi6b.png,musi18a.jpeg,musi18b.png,rabab,TRUE
7,1,,test,"The sleeve-valve engine gets its name from a thin-walled, metal sleeve that slides up and down within each cylinder during combustion. Sleeve valve engines in WWII British fighter planes like the Hawker Typhoon gave the Allies a horsepower advantage that may have helped them overtake the German Luftwaffe. However, due to their complex construction, they are not common in engines today.","What complicated valve design was used in mid-20th century automobiles and planes, such as the WWII Hawker Typhoon?",cars7a.jpeg,cars7b.jpeg,cars20a.jpeg,cars20b.jpeg,sleeve valve,FALSE,"A bain marie is a technique for cooking delicate dishes such as custards, sauces, and mousses without curdling. Preparing a bain marie involves placing a food container in a large, shallow pan of warm water. Then, the pan can either be placed in the oven, on top of a range, or left to sit as is to cook the food in the inner container.",What cooking technique cooks a food dish in a secondary pan of warm water?,cook7a.jpeg,cook7b.jpeg,cook17a.jpeg,cook17b.jpeg,bain marie,FALSE,"Friedrich August von Alberti coined the term ""Triassic"" in 1834. While studying salt deposits in Germany, he found three different rock layers of varying ages, dating between the Permian and Jurassic periods. Alberti called the period ""Triassic"" after these three layers. While these particular Triassic rock layers are only found in Germany, the name is still used worldwide for any rocks and fossils dating from that period.",Which geologic time period was named by Friedrich August von Alberti for rock layers in Germany?,dino7a.jpeg,dino7b.jpeg,dino24b.jpeg,dino24a.jpeg,Triassic,FALSE,"The fourth crystal system, the tetragonal system, also resembles a rectangular prism like the orthorhombic system. However, in the tetragonal system, two of the axes are the same length. Thus, tetragonal crystals have one axis of fourfold symmetry, where two opposite faces are square, and the rest are rectangular. Zircon is a well-known gemstone in the tetragonal system.",What well-known gemstone has a tetragonal system?,gems7a.jpeg,gems7b.jpeg,gems11a.jpeg,gems11b.jpeg,zircon,FALSE,"Alexander the Great's infantry phalanx wielded the sarissa, a pike reaching up to 20 ft/6.5 m long, first introduced to the ancient Macedonian army by Alexander's father, Phillip the Great. The sarissa likely enabled Alexander's conquest of western Asia by allowing infantry to attack neighboring forces before they were close enough to return blows.",What extremely long pike was used by the infantry of Alexander the Great?,arms7a.jpeg,arms7b.jpeg,arms12a.jpeg,arms12b.jpeg,sarissa,FALSE,"Today, the piano is perhaps the best-known hammered string instrument, but it is by no means the first. The medieval European dulcimer was a lap-sized trapezoidal instrument with strings tuned to a range of notes. Like a modern piano, it was played by striking the strings with hammers. However, unlike a piano's key mechanism, the dulcimer player held two small hammers and hammered the strings themselves.",What trapezoidal ancestor of the piano was also played by hammering on strings of various lengths?,musi7a.png,musi7b.png,musi3a.jpeg,musi3b.jpeg,dulcimer,FALSE
8,1,,test,"The redline of the engine is the maximum rpm value, or revolutions per minute, that can be accomodated without exploding the engine. The engine performs best in a small rpm range below the redline. Cars need transmissions so that the engine can run in a single rpm range below the redline, while turning the wheels at a range of speeds.",What is the maximum rpm value of an engine called?,cars8a.jpeg,cars8b.jpeg,cars1a.jpeg,cars1b.jpeg,redline,FALSE,"Coming from the French phrase meaning ""made of rags,"" the chiffonade cutting technique involves rolling up vegetables and then slicing them into thin strips or shreds. These shreds are lightly sauteed or used as a garnish on soups or other dishes. Typically, chiffonades are prepared using leafy green vegetables such as sorrels and lettuce.",What knife technique involves rolling up leafy greens and slicing them into thin strips?,cook8a.jpeg,cook8b.jpeg,cook11a.jpeg,cook11b.jpeg,chiffonade,FALSE,"The Jura Mountains of Switzerland are made up of a distinctive limestone. Rock strata dating from between the Triassic and Cretaceous periods were first identified in these mountains, thus giving that period the name ""Jurassic."" For rocks, the Jurassic is divided into three spans of time: Lower, Middle, and Upper. However, dinosaurs are classified by the divisions Early, Middle, and Late.",The Jurassic period was named after limestone mountains in which country?,dino8a.jpeg,dino8b.jpeg,dino32b.jpeg,dino32a.jpeg,Switzerland,FALSE,"The fifth and sixth crystal systems, the trigonal and hexagonal systems, primarily distinguish themselves from the other systems in that they have a hexagonal underlying lattice, and most or all of their axes meet at 120-degree angles. Quartz is a well-known gemstone in the trigonal system, but it sometimes crystallizes with hexagonal structure as well.",The hexagonal crystal system and what other crystal system have axes that meet at 120-degree angles?,gems8a.jpeg,gems8b.jpeg,gems36b.png,gems36a.jpeg,trigonal,FALSE,"Arms and armor take such a primal place in many cultures that whole groups of people derive their names from the names of weaponry. For example, the Saxons, who occupied areas of northern Europe during the first millenium CE, got their name from the seax, a long knife wielded by their tribe's warriors. While the Saxons were probably not the only Germanic tribes to use the seax, different tribes may have taken their names from different weapons.",What ancient European tribe was named for the characteristic knife wielded by its warriors?,arms8a.jpeg,arms8b.jpeg,arms31b.png,arms31a.png,Saxons,FALSE,"The zither family comprises all stringed instruments where the strings are the same length as the sound box. By this definition, zithers also generally are box-shaped, with no neck. European dulcimers are all zithers, as are instruments like the Chinese zheng or the Japanese koto. Most zithers are plucked, but some may be hammered or bowed.",What family of musical instruments has strings the same length as the instrument's sound box?,musi8a.png,musi8b.png,musi15a.png,musi15b.png,zither,FALSE
9,1,,test,"Cars use many gears to operate their different parts. The ""teeth"" on these gears have a special bell-like shape, called involute. The involute shape helps gears turn each other more efficiently, by allowing the contact point between gears to change smoothly as the gears turn.",What gear tooth shape is most common on automotive gears?,cars9a.png,cars9b.png,cars33b.jpeg,cars33a.jpeg,involute,FALSE,"A consomme is a clarified meat or fish broth that can be served hot or cold and can be used as a soup or sauce base. Consomme is prepared by simmering broth mixed with egg whites. The egg whites bind to fat and impurities in the broth as they cook, and float to the surface, where they can be skimmed off to leave the final clarified broth.",What clarified meat or fish broth is prepared by cooking broth with egg whites?,cook9a.jpeg,cook9b.jpeg,cook21b.jpeg,cook21a.jpeg,consomme,FALSE,"The Cretaceous Period took its name from the ""Terrain Cretace"", or ""Chalk Land"", a geologic region of chalk and sands in France dating from that period. Indeed, while many other types of rock also originate from this period, much of the world's present-day chalk rock was formed from shells of sea creatures living during the Cretaceous.",The Cretaceous period gets its name from what type of rock dating from that time?,dino9a.jpeg,dino9b.jpeg,dino29b.jpeg,dino29a.png,chalk,FALSE,"The seventh and final crystal system is the cubic system. As the name implies, the cube is the simplest structure exhibited by crystals in the cubic system. However, crystals in the cubic system can take more complex shapes, including octahedrons, if those shapes have four axes of threefold symmetry. Diamond is a well-known gemstone in the cubic system.",What is the seventh and simplest crystal system?,gems9a.png,gems9b.png,gems29b.jpeg,gems29a.png,cubic,FALSE,"Greek fire was one of the most powerful large-scale weapons in ancient warfare. First documented in the Eastern Roman Empire in 678 CE, Greek fire was a highly flammable liquid that could be packaged in fire bombs or sprayed at enemy fortifications. While the recipe for Greek fire was a heavily guarded secret, and thus very difficult to find in contemporary writings, modern historians believe the key ingredient was naphtha, a mix of liquid hydrocarbons that could be refined from petroleum.",What highly flammable liquid is believed to have been the key ingredient in Greek fire?,arms9a.jpeg,arms9b.jpeg,arms36b.png,arms36a.png,naphtha,FALSE,"The charango is a small instrument played in modern-day Peru and Bolivia. It probably descended from the guitar-like Spanish vihuela, brought over by the conquistadors, and adapted with different materials by indigenous musicians. The body of a traditional charango was made from an armadillo shell, but most modern charangos are made from wood and formed into an armadillo-shell shape.",The body of an Andean charango was traditionally made from what material?,musi9a.png,musi9b.png,musi23b.jpeg,musi23a.jpeg,armadillo,FALSE
10,1,,test,"In a manual transmission car, the driver moves the shifter to connect the desired gear between the engine and the wheels. However, if the engine is spinning at a different speed than the shifter gears, the parts will grind together loudly while shifting. To remedy this, many manual cars have parts called synchros that help the shifter and engine gears spin at the same speed to lock in without grinding.",What part reduces grinding noises while shifting a manual transmission car?,cars10a.jpeg,cars10b.jpeg,cars25b.jpeg,cars25a.jpeg,synchro,FALSE,"A Spanish dish, known as escabeche, consists of poached or seared fish covered in spicy, sour marinade and chilled for at least 24 hours before serving. Escabeche is usually served as a cold appetizer and is particuarly popular in the Provençal region of France as well as Jamaica, although it is known there as escovitch.","What Spanish dish comprises fish that's cooked, marinated in spicy and sour sauce, and served cold?",cook10a.jpeg,cook10b.jpeg,cook13a.jpeg,cook13b.png,escabeche,TRUE,"While living creatures generally have large populations, many prehistoric species are identified from a single fossil. When researchers document a specimen, living or preserved, that they believe to be a new species, that first specimen is dubbed the holotype, or first example, of its species. Holotype specimens are carefully stored in museums or universities for later research.",What term describes the first documented example of a new species of organism?,dino10a.jpeg,dino10b.jpeg,dino9a.jpeg,dino9b.jpeg,holotype,FALSE,"A commonly used scale of stone hardness is the Mohs scale of qualitative hardness, with stones ordered by their resistance to scratches. Another hardness scale is the Knoop scale, which measures a stone's quantitative hardness. A material's Knoop hardness is determined by the depth of the indentation left by a diamond point pressed into the material with a standard force.",What hardness scale measures the quantitative hardness of a stone?,gems10a.jpeg,gems10b.jpeg,gems40b.jpeg,gems40a.jpeg,Knoop scale,FALSE,"The earliest crossbows date from the 7th century BCE in modern-day China. The Han dynasty, which rose to power in the late 200s BCE, made large use of highly trained crossbowmen to conquer neighboring states. Indeed, weapon inventory lists dating from the Han dynasty confirm that crossbows were the most commonly stocked weapon in the Han army.",What weapon is credited with enabling the rise of the Han Dynasty in ancient China?,arms10a.png,arms10b.png,arms2a.png,arms2b.jpeg,crossbow,FALSE,"The sarangi is a small, boxy, fiddle-like string instrument played primarily in northern India. The main strings are held farther above the neck of the instrument than the strings of a European violin. Instead of pressing the string down onto the neck with the fingertips, as a violinist would, a sarangi player places the cuticle of their finger against the string to change the string's pitch.","What North Indian fiddle-like instrument is fingered not with the fingertips, but with the cuticles against the strings?",musi10a.png,musi10b.png,musi19a.jpeg,musi19b.png,sarangi,FALSE
